crate	version	layer	git_repo	git_head	worktree_state	source_files	source_loc	inbound_rsomics_dependents	inbound_target_family_count	inbound_target_families	has_tests	has_compat	has_benches	has_origin	upstream_families	upstream_mentions	area_provisional	target_family_provisional	target_kind_provisional	routing_confidence	suggested_action_provisional	manifest_error
rsomics-deletion-profile	0.1.0	B	True	c748b5af5724dd8b5df2be593fa1bc238d05e19f	clean	3	213	0	0		True	True	True	True	rseqc	rseqc	transcriptomics-qc	rsomics-rnaseq-qc	product	high	merge-into:rsomics-rnaseq-qc	-
rsomics-derep	0.2.0	B	True	f3663ce011e8f65ec5bcc227a495165b12ab7dd0	clean	5	675	0	0		True	True	True	True	vsearch	vsearch	metagenomics	rsomics-metagenomics	product	medium	merge-into:rsomics-metagenomics	-
rsomics-deseq-estimate-dispersions	0.1.1	B	True	30cfe948a68924b308d2cd61867fb194860fc4ca	clean	6	1470	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-fpkm	0.1.1	B	True	ec263aa17cc91718fc5118a8436c971d22e30bb2	clean	3	448	0	0		True	True	True	True	deseq2	rseqc|deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-fpm	0.1.1	B	True	376778fd58599f8026298a12178e7cc05b5bd0e1	clean	3	387	0	0		True	True	True	True	deseq2	deseq2|edger	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-lfc-shrink	0.1.1	B	True	13275091e33acd3090b69508587f5718a5c06cd6	clean	8	1777	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-lrt	0.1.1	B	True	a011348a0a61f20de84024b6ba59e56afc27c3a7	clean	7	1784	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-norm-transform	0.1.1	B	True	9c4e4f2f8b9c9859e0c7b1cdfdfec56ef7feaa2b	clean	4	366	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-prep	0.1.1	B	True	522a9ff561e5e559b23a05d2433a119a34b2559b	clean	3	160	0	0		True	True	True	False	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-results	0.1.1	B	True	94b1cea1e19f1e02fcf829a7f3cec7bb2f51dc5b	clean	7	1587	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-rlog	0.1.1	B	True	44f7e815c2174366fd3696ae281018fcbdf9809b	clean	8	1139	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-sizefactors	0.1.1	B	True	2aae52e2a4fc0d31d51c732d79f8dad38db7cf13	clean	3	346	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-unmix	0.1.0	B	True	9713ce792a3f077190f9e9488f398d2b62fade84	dirty	5	733	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-deseq-vst	0.1.1	B	True	4178daad4d14b7bb4a3c6121b631464d35aeccef	clean	6	736	0	0		True	True	True	True	deseq2	deseq2	bulk-expression	rsomics-deseq	product	high	merge-into:rsomics-deseq	-
rsomics-detrend	0.1.0	B	True	5d1871e4c24f26c2ed33510135e59dadde0116d3	clean	3	257	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-differential-entropy	0.1.1	B	True	dce45852c3d20b32b07143fff275a5ae88c91c23	clean	6	545	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-digraph-metrics	0.1.2	B	True	8baa13866710f99f0549bb4f678bc354a4db4bea	dirty	3	429	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-digraph-properties	0.1.2	B	True	1a4079c5349c8f05d7a5d79e8becba87575532eb	dirty	3	501	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-directed-components	0.1.1	B	True	60bd1323bbe5503a154592efcf7280d5de50f772	clean	6	454	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-dispersion	0.1.1	B	True	7b006c05b55e4fe70c0fb0985ca012ae9b1d967d	clean	2	259	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-distance	0.1.0	A	True	eb66c45999cbefc3b227c383cc1eb1639c48cdba	clean	1	284	5	1	rsomics-ecology	False	False	False	False	scikit-bio	scikit-bio	foundation	rsomics-distance	foundation	high	internalize-or-merge-review	-
rsomics-dominance	0.1.1	B	True	004fa4351c82bbc7d4f22ffd49bdd008a83bdd19	clean	3	432	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-dssp	0.1.2	B	True	723668553d88c0605fd6fc6bfb8371e5bb170aba	clean	6	1024	0	0		True	True	True	True			protein-structure	rsomics-structure	product	medium	merge-into:rsomics-structure	-
rsomics-durbin-watson	0.1.0	B	True	95a5866381de1e95d131fedde07469d6fc269ac6	clean	8	489	0	0		True	True	True	True	statsmodels	statsmodels	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-ebayes-core	0.1.0	A	True	4b45b4244646f7ca5ef281656f12d1e953c205fb	clean	1	201	3	1	rsomics-limma	False	False	False	False	limma	limma	foundation	rsomics-ebayes-core	foundation	high	internalize-or-merge-review	-
rsomics-ecdf	0.1.0	B	True	37b603a9a64bcf06354d4fa70efd447a09ce0903	clean	7	808	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-edge-betweenness	0.1.2	B	True	89ad2ba4e304953fba95eb66afa3dafc0a5354b0	dirty	5	423	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-edge-filter	0.1.1	B	True	01bf5d03bd96a532f7b85fa9a888053f500b6a5a	clean	2	624	0	0		True	True	False	True	scikit-image	scipy|scikit-image	bioimage-review	rsomics-image	capability-pool	high	merge-or-core-review	-
rsomics-edger-binom-test	0.1.2	B	True	f0188271f2919e68171c32bf78dc576e4514c4ee	clean	4	791	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-camera	0.1.3	B	True	d05098f33384ba884016e3009d5aa22af35c8edb	clean	8	1315	0	0		True	True	True	True	limma	edger|limma	bulk-expression	rsomics-limma	product	high	merge-into:rsomics-limma	-
rsomics-edger-cpm-by-group	0.1.3	B	True	698bf089a60cd726e3dc12a030d70c0a57d0b52c	clean	3	629	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-diff-splice	0.1.3	B	True	b9c4afdd3f6db10259e1ce38523c38a2e6c1a21e	clean	4	1208	0	0		True	True	True	True	edger	edger|limma	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-estimate-disp	0.1.2	B	True	3eda06381596b5c574ac18448c57d7a0255b17b0	clean	4	1355	0	0		True	True	True	True	edger	edger|limma	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
rsomics-edger-exact-test	0.1.2	B	True	ab70f259c2ce1c5db11b50e01f31e99e44236a17	clean	4	1463	0	0		True	True	True	True	edger	edger	bulk-expression	rsomics-edger	product	high	merge-into:rsomics-edger	-
